date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
8/11/2025,Boulder,"Foothills
Community Park",BC,Culex pipiens,14,CDC Light Trap,BC-01
8/11/2025,Boulder,"23rd/
Meadow",BC,Culex pipiens,2,CDC Light Trap,BC-02
8/11/2025,Boulder,"Christensen
Park",BC,Culex pipiens,7,CDC Light Trap,BC-03
8/11/2025,Boulder,"South Boulder
Rec. Center",BC,Culex pipiens,18,CDC Light Trap,BC-04
8/11/2025,Boulder,"Broadway/
Baseline",BC,Culex pipiens,,CDC Light Trap,BC-05
8/11/2025,Boulder,"Broadway/
Alpine",BC,Culex pipiens,1,CDC Light Trap,BC-06
8/11/2025,Boulder,"Table Mesa/
Stevens",BC,Culex pipiens,11,CDC Light Trap,BC-07
8/11/2025,Boulder,"7th/
Pennsylvania",BC,Culex pipiens,1,CDC Light Trap,BC-08
8/11/2025,Boulder,Burke Park,BC,Culex pipiens,,CDC Light Trap,BC-10
8/11/2025,Boulder,"Stazio
Ballfields (S)",BC,Culex pipiens,,CDC Light Trap,BC-11
8/11/2025,Boulder,"E. Boulder
Rec. Center",BC,Culex pipiens,2,CDC Light Trap,BC-13
8/11/2025,Boulder,"Greenbelt
Meadows ",BC,Culex pipiens,3,CDC Light Trap,BC-14
8/11/2025,Boulder,"Rolling Rock
Ranch",BC,Culex pipiens,,CDC Light Trap,BC-20
8/11/2025,Boulder,"Sombrero
Marsh (S)",BC,Culex pipiens,,CDC Light Trap,BC-22
8/11/2025,Boulder,"Papini Natural 
Area Park (S)",BC,Culex pipiens,3,CDC Light Trap,BC-24
8/11/2025,Boulder,"Tom Watson 
Park (S)",BC,Culex pipiens,8,CDC Light Trap,BC-25
8/11/2025,Boulder,"Sawhill
Ponds (S)",BC,Culex pipiens,2,CDC Light Trap,BC-26
8/11/2025,Boulder,"Goose
Creek",BC,Culex pipiens,5,CDC Light Trap,BC-27
8/11/2025,Boulder,"Old Tale Rd./
Gapter ",BC,Culex pipiens,8,CDC Light Trap,BC-28
8/11/2025,Boulder,"Foothills
Community Park",BC,Culex tarsalis,17,CDC Light Trap,BC-01
8/11/2025,Boulder,"23rd/
Meadow",BC,Culex tarsalis,4,CDC Light Trap,BC-02
8/11/2025,Boulder,"Christensen
Park",BC,Culex tarsalis,5,CDC Light Trap,BC-03
8/11/2025,Boulder,"South Boulder
Rec. Center",BC,Culex tarsalis,33,CDC Light Trap,BC-04
8/11/2025,Boulder,"Broadway/
Baseline",BC,Culex tarsalis,,CDC Light Trap,BC-05
8/11/2025,Boulder,"Broadway/
Alpine",BC,Culex tarsalis,,CDC Light Trap,BC-06
8/11/2025,Boulder,"Table Mesa/
Stevens",BC,Culex tarsalis,36,CDC Light Trap,BC-07
8/11/2025,Boulder,"7th/
Pennsylvania",BC,Culex tarsalis,16,CDC Light Trap,BC-08
8/11/2025,Boulder,Burke Park,BC,Culex tarsalis,,CDC Light Trap,BC-10
8/11/2025,Boulder,"Stazio
Ballfields (S)",BC,Culex tarsalis,1,CDC Light Trap,BC-11
8/11/2025,Boulder,"E. Boulder
Rec. Center",BC,Culex tarsalis,18,CDC Light Trap,BC-13
8/11/2025,Boulder,"Greenbelt
Meadows ",BC,Culex tarsalis,41,CDC Light Trap,BC-14
8/11/2025,Boulder,"Rolling Rock
Ranch",BC,Culex tarsalis,27,CDC Light Trap,BC-20
8/11/2025,Boulder,"Sombrero
Marsh (S)",BC,Culex tarsalis,,CDC Light Trap,BC-22
8/11/2025,Boulder,"Papini Natural 
Area Park (S)",BC,Culex tarsalis,7,CDC Light Trap,BC-24
8/11/2025,Boulder,"Tom Watson
Park (S)",BC,Culex tarsalis,130,CDC Light Trap,BC-25
8/11/2025,Boulder,"Sawhill
Ponds (S)",BC,Culex tarsalis,1,CDC Light Trap,BC-26
8/11/2025,Boulder,"Goose
Creek",BC,Culex tarsalis,37,CDC Light Trap,BC-27
8/11/2025,Boulder,"Old Tale Rd./
Gapter ",BC,Culex tarsalis,4,CDC Light Trap,BC-28
