"week","vi_NW","vi_hx_NW","vi_NE","vi_hx_NE","vi_SE","vi_hx_SE","vi_SW","vi_hx_SW","vi_FC","vi_hx_FC","vi_LV","vi_BE","vi_BC"
23,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0",""
24,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0",""
25,"0",0,"0",0,"0.12",0,"0",0,"0.04",0,"0","0","0"
26,"0.1",0,"0",0,"0.06",0.02,"0",0,"0.05",0,"0.17","0","0.2"
27,"0",0,"0.09",0,"0.17",0.06,"0.1",0,"0.11",0.02,"0.16","0.22","0.3"
28,"0.06",0.02,"0.29",0.03,"0.61",0.28,"0.21",0.09,"0.34",0.13,"0.55","0.44","0"
29,"0.47",0.19,"0.71",0.36,"0.92",0.34,"0.35",0.21,"0.66",0.29,"1.03","1.01","0"
30,"0.11",0.1,"0.23",0.3,"0.16",0.25,"0.09",0.19,"0.16",0.22,"0.76","0.56","0.9"
31,"0.32",0.15,"0.42",0.12,"0.25",0.66,"0.1",0.17,"0.28",0.34,"0.58","0.45","0"
32,"0.39",0.22,"0.35",0.26,"0.42",0.31,"0.36",0.24,"0.4",0.28,"0.36","0.58","0.66"
33,"0.54",0.18,"0",0.6,"0.49",0.3,"0.68",0.27,"0.42",0.35,"0","0.6","0.29"
34,"0.47",0.18,"0.57",0.42,"0.26",0.42,"0.46",0.27,"0.42",0.36,"1.13","0.76","0"
35,"",0.08,"",0.4,"",0.39,"",0.11,"",0.27,"","",""
36,"",0.06,"",0.1,"",0.1,"",0.02,"",0.08,"","",""
37,"",0.03,"",0.26,"",0.04,"",0,"",0.08,"","",""
