"zone","trap_id","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"LV","LV-087",1,0,0,0,0,0,0,0,0,0,0
"LV","LV-114",1,0,0,0,0,2,0,0,0,0,0
"LV","LV-120",1,0,0,0,0,0,0,0,0,0,0
"LV","LV-123",1,0,0,0,0,0,0,0,0,0,0
"LV","LV-074",0,0,1,0,0,0,0,0,0,0,0
"LV","LV-074GR",0,0,1,0,0,0,0,0,0,0,0
"LV","LV-078",0,0,1,0,0,1,0,0,0,0,0
"LV","LV-079GR",0,0,1,0,0,0,0,0,0,0,0
"BE","LC-055",0,0,0,0,0,8,4,0,0,0,0
"BC","BC-02",0,0,0,0,0,0,0,0,2,0,0
"BC","BC-03",0,0,0,0,0,0,0,0,1,0,0
"BC","BC-12",0,0,0,0,0,0,0,0,1,0,0
"BC","BC-16",0,0,0,0,0,0,0,0,1,0,0
