"week","pir_NW","hx_pir_NW","pir_NE","hx_pir_NE","pir_SE","hx_pir_SE","pir_SW","hx_pir_SW","pir_FC","hx_pir_FC","pir_LV","hx_pir_LV","pir_BE","hx_pir_BC"
23,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
26,NA,0,NA,0,NA,0.2,NA,0,NA,0.05,NA,0,NA,0
27,NA,0,NA,0,NA,0.5,NA,0,NA,0.125,NA,0.3,NA,0
28,NA,0.3,NA,0.2,NA,1.2,NA,1.2,NA,0.725,NA,0.2,NA,3.4
29,NA,1.9,NA,1.4,NA,1.6,NA,2.2,NA,1.775,NA,1.1,NA,5.1
30,NA,1.2,NA,1.4,NA,2.2,NA,3.3,NA,2.025,NA,4.7,NA,1.4
31,NA,4,NA,0.9,NA,4.8,NA,5.4,NA,3.775,NA,2.7,NA,1.1
32,NA,6.3,NA,2.2,NA,4.3,NA,7,NA,4.95,NA,4.8,NA,4.6
33,NA,5.8,NA,5.6,NA,4.6,NA,7.9,NA,5.975,NA,6.2,NA,3.1
34,NA,6.2,NA,4.1,NA,8.2,NA,10.3,NA,7.2,NA,4,NA,3.2
35,NA,7,NA,6.7,NA,10.6,NA,10,NA,8.575,NA,9.6,NA,0
36,NA,5.6,NA,2.1,NA,4.7,NA,5.1,NA,4.375,NA,9.4,NA,0
37,NA,0,NA,3.5,NA,2.2,NA,0,NA,1.425,NA,NA,NA,0
